date,close,open,adj_close
2019-10-11,78.75,74.6,78.75
2019-10-14,79.15,79.45,79.15
2019-10-15,79.95,79.8,79.95
2019-10-16,80.25,80.6,80.25
2019-10-17,88.85,80.45,88.85
2019-10-18,89.6,89.0,89.6
2019-10-22,86.6,90.0,86.6
2019-10-23,86.65,86.55,86.65
2019-10-24,86.15,87.35,86.15
2019-10-25,88.95,85.9,88.95
2019-10-27,90.2,90.0,90.2
2019-10-29,89.5,90.35,89.5
2019-10-30,89.9,89.6,89.9
2019-10-31,89.7,90.55,89.7
2019-11-01,89.95,90.25,89.95
2019-11-04,92.65,89.7,92.65
2019-11-05,90.7,93.2,90.7
2019-11-06,90.3,90.0,90.3
2019-11-07,88.7,90.4,88.7
2019-11-08,86.7,88.8,86.7
2019-11-11,93.85,86.8,93.85
2019-11-13,96.0,95.0,96.0
2019-11-14,95.05,96.7,95.05
2019-11-15,95.5,95.4,95.5
2019-11-18,94.05,95.95,94.05
2019-11-19,96.2,94.05,96.2
2019-11-20,98.75,96.8,98.75
2019-11-21,97.0,98.65,97.0
2019-11-22,106.7,97.45,106.7
2019-11-25,114.3,107.7,114.3
2019-11-26,115.15,114.5,115.15
2019-11-27,125.9,115.8,125.9
2019-11-28,132.15,127.25,132.15
2019-11-29,137.1,136.0,137.1
2019-12-02,131.3,138.0,131.3
2019-12-03,124.75,132.0,124.75
2019-12-04,128.55,119.55,128.55
2019-12-05,129.95,129.0,129.95
2019-12-06,126.4,129.6,126.4
2019-12-09,124.65,125.3,124.65
2019-12-10,126.9,124.35,126.9
2019-12-11,132.55,128.0,132.55
2019-12-12,131.9,134.2,131.9
2019-12-13,132.65,131.9,132.65
2019-12-16,134.4,133.3,134.4
2019-12-17,135.55,135.0,135.55
2019-12-18,135.1,136.3,135.1
2019-12-19,134.25,134.95,134.25
2019-12-20,135.1,134.75,135.1
2019-12-23,141.85,135.1,141.85
2019-12-24,148.9,146.45,148.9
2019-12-26,156.3,156.3,156.3
2019-12-27,151.0,159.4,151.0
2019-12-30,158.55,153.7,158.55
2019-12-31,166.45,166.45,166.45
2020-01-02,183.45,179.15,183.45
2020-01-03,192.6,187.8,192.6
2020-01-06,200.6,200.0,200.6
2020-01-07,210.6,208.0,210.6
2020-01-08,221.1,215.8,221.1
2020-01-09,232.15,232.15,232.15
2020-01-10,220.55,243.75,220.55
2020-01-13,209.55,209.55,209.55
2020-01-14,199.1,199.1,199.1
2020-01-15,189.15,189.15,189.15
2020-01-16,179.7,179.7,179.7
2020-01-17,188.65,175.1,188.65
2020-01-20,198.05,198.05,198.05
2020-01-21,202.25,199.0,202.25
2020-01-22,197.65,204.0,197.65
2020-01-23,192.2,199.2,192.2
2020-01-24,190.25,187.5,190.25
2020-01-27,190.75,189.0,190.75
2020-01-28,187.65,191.5,187.65
2020-01-29,186.3,188.0,186.3
2020-01-30,180.45,186.9,180.45
2020-01-31,189.45,182.5,189.45
2020-02-01,186.85,192.8,186.85
2020-02-03,196.15,186.85,196.15
2020-02-04,198.0,201.9,198.0
2020-02-05,193.25,196.0,193.25
2020-02-06,202.9,193.0,202.9
2020-02-07,213.0,208.95,213.0
2020-02-10,213.35,219.9,213.35
2020-02-11,211.25,215.9,211.25
2020-02-12,207.65,212.1,207.65
2020-02-13,199.95,208.0,199.95
2020-02-14,206.8,201.0,206.8
2020-02-17,198.35,208.4,198.35
2020-02-18,189.25,200.8,189.25
2020-02-19,197.85,191.9,197.85
2020-02-20,194.85,197.85,194.85
2020-02-24,185.9,191.45,185.9
2020-02-25,180.55,184.75,180.55
2020-02-26,171.55,175.55,171.55
2020-02-27,163.0,165.3,163.0
2020-02-28,154.95,154.85,154.95
2020-03-02,156.05,156.6,156.05
2020-03-03,159.5,162.9,159.5
2020-03-04,152.0,159.25,152.0
2020-03-05,152.5,151.55,152.5
2020-03-06,144.9,144.9,144.9
2020-03-09,137.7,137.7,137.7
2020-03-11,130.85,131.1,130.85
2020-03-12,124.35,124.35,124.35
2020-03-13,123.4,118.15,123.4
2020-03-16,117.7,120.0,117.7
2020-03-17,123.4,115.0,123.4
2020-03-18,129.4,125.1,129.4
2020-03-19,135.65,125.0,135.65
2020-03-20,142.35,142.4,142.35
2020-03-23,135.25,135.25,135.25
2020-03-24,141.3,128.5,141.3
2020-03-25,148.1,140.0,148.1
2020-03-26,152.1,154.0,152.1
2020-03-27,148.75,154.5,148.75
2020-03-30,146.95,142.1,146.95
2020-03-31,153.25,147.3,153.25
2020-04-01,152.9,155.5,152.9
2020-04-03,151.9,152.9,151.9
2020-04-07,158.95,153.5,158.95
2020-04-08,166.45,166.85,166.45
