date,close,open,adj_close
2019-10-14,786.1,786.75,772.318
2019-10-15,768.3,773.1,754.8299
2019-10-16,771.45,765.25,757.9248
2019-10-17,769.5,767.0,756.0089
2019-10-18,767.85,763.8,754.3878
2019-10-22,643.55,691.1,640.2258
2019-10-23,650.6,630.0,648.8526
2019-10-24,635.35,650.0,633.6435
2019-10-25,637.45,647.0,635.7379
2019-10-27,648.85,651.1,647.1073
2019-10-29,650.65,651.0,648.9024
2019-10-30,660.6,660.4,658.8257
2019-10-31,685.6,668.4,683.7586
2019-11-01,687.9,690.0,686.0524
2019-11-04,709.0,681.8,707.0957
2019-11-05,696.1,708.75,694.2304
2019-11-06,712.3,695.8,710.3868
2019-11-07,720.1,717.0,718.1659
2019-11-08,708.15,722.0,706.248
2019-11-11,704.4,698.9,702.5081
2019-11-13,691.35,696.5,689.4931
2019-11-14,705.3,696.35,703.4056
2019-11-15,703.9,709.05,702.0094
2019-11-18,705.2,705.0,703.3059
2019-11-19,712.85,709.9,710.9354
2019-11-20,713.0,712.8,711.085
2019-11-21,713.25,715.5,711.3343
2019-11-22,693.2,711.75,691.3381
2019-11-25,698.1,693.35,696.225
2019-11-26,690.6,705.0,688.7451
2019-11-27,695.75,694.25,693.8813
2019-11-28,701.85,699.1,699.9649
2019-11-29,696.35,700.9,694.4797
2019-12-02,692.7,703.1,690.8395
2019-12-03,698.35,692.7,696.4743
2019-12-04,708.85,697.0,706.9461
2019-12-05,714.85,706.45,712.93
2019-12-06,715.1,715.95,713.1793
2019-12-09,717.25,716.0,715.3235
2019-12-10,714.55,713.0,712.6308
2019-12-11,721.05,716.6,719.1133
2019-12-12,702.1,718.5,700.2142
2019-12-13,711.3,700.35,709.3895
2019-12-16,714.0,712.3,712.0823
2019-12-17,729.7,719.7,727.7401
2019-12-18,732.45,731.0,730.4827
2019-12-19,730.85,733.5,728.887
2019-12-20,731.55,731.0,729.5851
2019-12-23,736.0,732.15,734.0232
2019-12-24,733.4,736.95,731.4302
2019-12-26,728.95,732.0,726.9921
2019-12-27,736.95,729.75,734.9706
2019-12-30,732.9,736.1,730.9315
2019-12-31,731.15,729.7,729.1862
2020-01-02,734.7,738.9,732.7267
2020-01-03,746.0,733.9,743.9963
2020-01-06,738.85,746.1,736.8655
2020-01-07,727.9,738.0,725.9449
2020-01-08,718.2,724.95,716.271
2020-01-09,727.55,721.7,725.5959
2020-01-10,738.15,740.45,736.1674
2020-01-13,773.55,760.0,771.4723
2020-01-14,775.65,769.95,773.5667
2020-01-15,767.55,773.85,765.4884
2020-01-16,767.0,770.7,764.9399
2020-01-17,767.85,770.7,765.7876
2020-01-20,768.45,771.6,766.386
2020-01-21,762.5,768.45,760.452
2020-01-22,770.2,768.45,768.1313
2020-01-23,784.35,777.1,782.2433
2020-01-24,782.75,775.75,780.6476
2020-01-27,778.1,779.05,776.0101
2020-01-28,778.0,781.0,775.9104
2020-01-29,789.7,786.6,787.579
2020-01-30,780.7,789.7,778.6031
2020-01-31,775.95,780.55,773.8659
2020-02-01,779.5,775.1,777.4063
2020-02-03,767.4,782.0,765.3388
2020-02-04,787.85,770.1,785.7339
2020-02-05,784.55,781.0,782.4428
2020-02-06,771.35,784.35,769.2782
2020-02-07,777.3,775.95,775.2123
2020-02-10,773.2,774.0,771.1233
2020-02-11,773.55,779.0,771.4723
2020-02-12,781.05,775.8,778.9522
2020-02-13,792.25,785.0,790.1221
2020-02-14,786.45,794.5,784.3377
2020-02-17,789.45,790.3,787.3296
2020-02-18,797.65,785.0,795.5076
2020-02-19,800.45,800.0,798.3001
2020-02-20,797.0,803.25,794.8593
2020-02-24,795.85,800.1,793.7124
2020-02-25,798.4,799.0,796.2556
2020-02-26,782.75,793.95,780.6476
2020-02-27,777.85,778.0,775.7608
2020-02-28,731.7,750.0,729.7347
2020-03-02,741.05,737.0,739.0596
2020-03-03,747.0,755.0,744.9936
2020-03-04,758.75,753.9,756.7121
2020-03-05,754.6,763.75,752.5732
2020-03-06,738.95,741.0,736.9653
2020-03-09,704.45,724.5,702.5579
2020-03-11,686.0,690.65,684.1575
2020-03-12,631.2,668.0,629.5047
2020-03-13,642.35,592.0,640.6247
2020-03-16,583.15,622.0,581.5837
2020-03-17,554.95,588.1,553.4595
2020-03-18,534.3,568.0,532.8649
2020-03-19,545.55,509.25,544.0847
2020-03-20,585.2,549.5,583.6282
2020-03-23,526.45,540.0,525.036
2020-03-24,589.8,522.0,588.2159
2020-03-25,606.2,597.0,604.5718
2020-03-26,643.0,615.0,641.273
2020-03-27,652.7,665.05,650.9469
