date,close,open,adj_close
2019-11-18,100.25,100.6,95.2587
2019-11-19,100.05,100.6,95.0687
2019-11-20,101.8,100.6,96.7316
2019-11-21,99.7,102.3,94.7361
2019-11-22,100.25,99.6,95.2587
2019-11-25,103.3,100.8,98.1569
2019-11-26,100.85,103.4,95.8289
2019-11-27,101.8,101.2,96.7316
2019-11-28,105.0,102.4,99.7722
2019-11-29,102.55,104.5,97.4442
2019-12-02,105.5,102.25,100.2473
2019-12-03,108.1,105.75,102.7179
2019-12-04,113.35,107.0,107.7065
2019-12-05,109.65,113.4,104.1907
2019-12-06,110.45,110.3,104.9509
2019-12-09,109.35,111.0,103.9057
2019-12-10,110.0,109.85,104.5233
2019-12-11,111.65,110.0,106.0911
2019-12-12,113.75,111.45,108.0866
2019-12-13,114.25,114.25,108.5617
2019-12-16,114.9,115.5,109.1793
2019-12-17,117.2,114.8,111.3648
2019-12-18,119.95,118.3,113.9779
2019-12-19,123.3,120.5,117.1611
2019-12-20,124.35,124.45,118.1588
2019-12-23,123.65,123.9,117.4937
2019-12-24,124.75,123.65,118.5389
2019-12-26,126.25,124.9,119.9642
2019-12-27,126.1,126.25,119.8217
2019-12-30,126.95,126.1,120.6294
2019-12-31,128.9,127.7,122.4823
2020-01-02,131.2,129.15,124.6678
2020-01-03,129.25,131.5,122.8149
2020-01-06,129.4,128.4,122.9574
2020-01-07,128.05,130.0,121.6746
2020-01-08,121.8,127.4,115.7358
2020-01-09,120.75,123.8,114.7381
2020-01-10,121.05,121.5,115.0231
2020-01-13,123.25,121.45,117.1136
2020-01-14,125.8,123.9,119.5366
2020-01-15,131.1,126.05,124.5728
2020-01-16,130.6,131.9,124.0977
2020-01-17,129.75,130.1,123.29
2020-01-20,138.8,134.25,131.8894
2020-01-21,134.2,138.0,127.5184
2020-01-22,132.1,135.0,125.523
2020-01-23,132.95,131.9,126.3307
2020-01-24,128.85,128.5,122.4348
2020-01-27,124.45,128.0,118.2539
2020-01-28,123.85,123.9,117.6837
2020-01-29,122.45,124.2,116.3534
2020-01-30,120.4,122.55,114.4055
2020-01-31,116.95,120.85,111.1273
2020-02-01,104.9,116.85,99.6772
2020-02-03,103.1,105.55,97.9668
2020-02-04,108.8,104.4,103.383
2020-02-05,113.9,109.45,108.2291
2020-02-06,116.4,114.55,110.6046
2020-02-07,113.75,115.7,108.0866
2020-02-10,112.8,113.0,107.1839
2020-02-11,112.8,113.8,107.1839
2020-02-12,114.65,112.8,108.9418
2020-02-13,110.0,114.7,104.5233
2020-02-14,106.35,110.0,101.055
2020-02-17,106.25,106.75,100.96
