date,close,open,adj_close
2019-10-14,117.75,116.55,117.6761
2019-10-15,119.4,117.0,119.3251
2019-10-16,117.4,118.8,117.3263
2019-10-17,118.7,117.7,118.6255
2019-10-18,121.05,118.8,120.9741
2019-10-22,120.9,121.65,120.8242
2019-10-23,121.05,120.25,120.9741
2019-10-24,120.2,122.0,120.1246
2019-10-25,118.5,120.85,118.4257
2019-10-27,118.8,119.0,118.7255
2019-10-29,119.9,118.7,119.8248
2019-10-30,120.95,121.0,120.8741
2019-10-31,122.4,121.5,122.3232
2019-11-01,121.5,123.0,121.4238
2019-11-04,120.55,121.65,120.4744
2019-11-05,120.6,120.2,120.5243
2019-11-06,120.65,120.1,120.5743
2019-11-07,119.55,121.15,119.475
2019-11-08,117.4,119.1,117.3263
2019-11-11,118.25,118.95,118.1758
2019-11-13,118.3,117.9,118.2258
2019-11-14,118.55,118.5,118.4756
2019-11-15,117.35,118.55,117.2764
2019-11-18,117.45,117.05,117.3763
2019-11-19,117.35,117.75,117.2764
2019-11-20,117.05,117.3,116.9766
2019-11-21,115.3,117.4,115.2277
2019-11-22,117.8,116.95,117.7261
2019-11-25,118.1,118.0,118.0259
2019-11-26,116.65,118.1,116.5768
2019-11-27,115.75,116.8,115.6774
2019-11-28,115.55,116.15,115.4775
2019-11-29,116.35,116.0,116.277
2019-12-02,115.3,115.75,115.2277
2019-12-03,114.55,115.1,114.4781
2019-12-04,114.8,115.05,114.728
2019-12-05,114.1,114.75,114.0284
2019-12-06,112.65,114.7,112.5793
2019-12-09,112.7,113.2,112.6293
2019-12-10,110.0,112.5,109.931
2019-12-11,113.0,110.5,112.9291
2019-12-12,114.45,113.55,114.3782
2019-12-13,115.65,115.05,115.5774
2019-12-16,114.95,116.2,114.8779
2019-12-17,115.55,114.95,115.4775
2019-12-18,114.15,115.0,114.0784
2019-12-19,114.05,114.0,113.9785
2019-12-20,114.7,114.05,114.628
2019-12-23,114.6,114.2,114.5281
2019-12-24,115.2,114.5,115.1277
2019-12-26,116.4,115.15,116.327
2019-12-27,116.85,116.3,116.7767
2019-12-30,116.55,116.85,116.4769
2019-12-31,119.05,116.55,118.9753
2020-01-02,121.4,121.5,121.3238
2020-01-03,119.35,121.0,119.2751
2020-01-06,118.9,119.0,118.8254
2020-01-07,120.55,119.25,120.4744
2020-01-08,119.95,119.7,119.8747
2020-01-09,119.35,120.5,119.2751
2020-01-10,120.3,119.95,120.2245
2020-01-13,121.75,120.4,121.6736
2020-01-14,123.5,121.75,123.4225
2020-01-15,123.85,123.0,123.7723
2020-01-16,121.45,123.4,121.3738
2020-01-17,121.2,121.45,121.124
2020-01-20,118.25,121.0,118.1758
2020-01-21,117.15,118.4,117.0765
2020-01-22,112.15,114.95,112.0796
2020-01-23,113.5,112.6,113.4288
2020-01-24,114.75,114.0,114.678
2020-01-27,113.15,115.0,113.079
2020-01-28,112.05,113.75,111.9797
2020-01-29,113.2,112.1,113.129
2020-01-30,113.65,113.45,113.5787
2020-01-31,112.85,113.75,112.7792
2020-02-01,109.3,112.85,109.2314
2020-02-03,110.25,109.45,110.1808
2020-02-04,112.0,110.35,111.9297
2020-02-05,111.2,111.3,111.1302
2020-02-06,112.0,110.5,111.9297
2020-02-07,115.6,112.4,115.5275
2020-02-10,113.5,115.8,113.4288
2020-02-11,116.85,114.5,116.7767
2020-02-12,116.8,117.0,116.7267
2020-02-13,115.15,116.8,115.0778
2020-02-14,112.7,114.8,112.6293
2020-02-17,110.3,113.1,110.2308
2020-02-18,109.6,109.6,109.5312
2020-02-19,112.05,112.3,111.9797
2020-02-20,111.35,111.7,111.2801
2020-02-24,109.7,110.75,109.6312
2020-02-25,110.1,110.9,110.0309
2020-02-26,109.1,110.0,109.0316
2020-02-27,109.05,109.2,108.9816
2020-02-28,106.55,106.65,106.4832
2020-03-02,103.9,109.35,103.8348
2020-03-03,108.9,104.65,108.8317
2020-03-04,107.95,108.65,107.8823
2020-03-05,107.85,108.1,107.7823
2020-03-06,105.15,104.75,105.084
2020-03-09,102.9,104.0,102.8354
2020-03-11,103.05,103.0,102.9854
2020-03-12,94.35,99.0,94.2908
2020-03-13,98.05,90.0,97.9885
2020-03-16,90.8,96.0,90.743
2020-03-17,88.1,91.0,88.0447
2020-03-18,80.55,89.0,80.4995
2020-03-19,78.35,78.55,78.3008
2020-03-20,81.25,78.5,81.199
2020-03-23,76.4,74.9,76.3521
2020-03-24,77.55,78.1,77.5013
2020-03-25,79.7,78.0,79.65
2020-03-26,79.65,82.0,79.65
2020-03-27,83.0,82.5,83.0
2020-03-30,81.75,79.9,81.75
2020-03-31,84.2,82.75,84.2
2020-04-01,81.0,84.3,81.0
2020-04-03,79.55,82.05,79.55
2020-04-07,81.55,81.6,81.55
2020-04-08,85.2,81.55,85.2
2020-04-09,87.1,88.35,87.1
2020-04-13,88.65,87.1,88.65
2020-04-15,89.9,88.95,89.9
2020-04-16,95.1,87.25,95.1
2020-04-17,95.5,101.0,95.5
2020-04-20,98.9,97.0,98.9
2020-04-21,97.3,96.5,97.3
2020-04-22,97.6,97.3,97.6
2020-04-23,95.2,97.45,95.2
2020-04-24,93.4,94.75,93.4
2020-04-27,92.35,94.4,92.35
2020-04-28,90.35,92.15,90.35
2020-04-29,90.2,91.45,90.2
2020-04-30,95.05,91.35,95.05
2020-05-04,91.45,91.05,91.45
2020-05-05,92.6,92.2,92.6
2020-05-06,94.7,92.95,94.7
2020-05-07,90.45,94.1,90.45
2020-05-08,87.0,91.0,87.0
2020-05-11,86.65,88.2,86.65
2020-05-12,91.65,86.5,91.65
2020-05-13,93.05,94.95,93.05
2020-05-14,89.35,93.3,89.35
2020-05-15,90.85,90.0,90.85
2020-05-18,88.9,90.5,88.9
2020-05-19,91.05,89.6,91.05
2020-05-20,92.9,89.9,92.9
2020-05-21,90.25,92.15,90.25
2020-05-22,90.95,89.9,90.95
2020-05-26,93.0,90.15,93.0
2020-05-27,94.7,93.0,94.7
2020-05-28,95.7,95.25,95.7
2020-05-29,97.85,94.7,97.85
2020-06-01,97.9,98.4,97.9
2020-06-02,96.75,98.75,96.75
2020-06-03,94.7,97.75,94.7
2020-06-04,95.15,94.15,95.15
2020-06-05,97.95,95.0,97.95
2020-06-08,98.55,98.95,98.55
2020-06-09,98.0,99.0,98.0
2020-06-10,98.15,98.15,98.15
2020-06-11,98.05,98.15,98.05
2020-06-12,96.9,94.5,96.9
2020-06-15,93.2,96.7,93.2
2020-06-16,92.8,94.95,92.8
2020-06-17,91.5,92.95,91.5
2020-06-18,92.7,91.8,92.7
2020-06-19,93.0,93.05,93.0
2020-06-22,95.3,94.1,95.3
2020-06-23,100.75,95.1,100.75
2020-06-24,97.05,102.0,97.05
2020-06-25,96.1,97.05,96.1
2020-06-26,97.0,96.4,97.0
2020-06-29,94.9,97.65,94.9
2020-06-30,95.8,97.0,95.8
2020-07-01,93.6,94.7,93.6
2020-07-02,93.4,94.5,93.4
2020-07-03,94.5,93.6,94.5
2020-07-06,95.2,95.9,95.2
2020-07-07,92.55,95.4,92.55
2020-07-08,91.0,92.85,91.0
2020-07-09,91.2,91.3,91.2
2020-07-10,90.4,91.2,90.4
2020-07-13,89.9,91.05,89.9
2020-07-14,87.65,89.8,87.65
2020-07-15,88.05,88.3,88.05
2020-07-16,86.75,88.2,86.75
2020-07-17,88.3,87.2,88.3
2020-07-20,87.15,88.9,87.15
2020-07-21,88.35,88.0,88.35
2020-07-22,90.35,88.75,90.35
2020-07-23,90.55,90.9,90.55
2020-07-24,89.4,90.3,89.4
2020-07-27,87.65,89.55,87.65
2020-07-28,88.55,87.9,88.55
2020-07-29,88.15,88.5,88.15
2020-07-30,86.6,88.55,86.6
2020-07-31,87.0,86.9,87.0
2020-08-03,85.6,87.2,85.6
2020-08-04,85.6,86.5,85.6
2020-08-05,85.9,85.9,85.9
2020-08-06,86.15,86.5,86.15
2020-08-07,85.8,86.2,85.8
2020-08-10,88.2,86.8,88.2
2020-08-11,88.25,89.0,88.25
2020-08-12,88.7,88.0,88.7
2020-08-13,87.25,87.4,87.25
2020-08-14,88.4,87.35,88.4
2020-08-17,95.3,89.4,95.3
2020-08-18,95.05,96.2,95.05
2020-08-19,94.65,96.0,94.65
2020-08-20,101.1,94.6,101.1
2020-08-21,105.95,102.7,105.95
2020-08-24,105.4,107.1,105.4
2020-08-25,103.8,106.0,103.8
2020-08-26,102.8,104.6,102.8
2020-08-27,102.6,103.2,102.6
2020-08-28,101.55,103.15,101.55
2020-08-31,96.4,102.6,96.4
2020-09-01,99.8,97.5,99.8
2020-09-02,98.95,99.8,98.95
2020-09-03,97.7,99.0,97.7
2020-09-04,94.7,96.05,94.7
2020-09-07,92.4,94.8,92.4
2020-09-08,90.65,93.25,90.65
2020-09-09,90.4,90.1,90.4
2020-09-10,90.55,91.0,90.55
2020-09-11,90.1,90.2,90.1
2020-09-14,90.85,90.4,90.85
2020-09-15,91.1,90.9,91.1
2020-09-16,89.65,91.6,89.65
2020-09-17,88.65,89.05,88.65
2020-09-18,90.55,89.05,90.55
2020-09-21,88.3,91.15,88.3
2020-09-22,87.7,88.3,87.7
2020-09-23,85.1,87.65,85.1
2020-09-24,82.65,84.1,82.65
2020-09-25,84.8,83.35,84.8
2020-09-28,87.5,85.6,87.5
2020-09-29,85.15,88.5,85.15
2020-09-30,85.1,85.6,85.1
2020-10-01,84.9,85.8,84.9
2020-10-05,84.45,85.0,84.45
2020-10-06,84.15,84.45,84.15
2020-10-07,82.8,84.2,82.8
2020-10-08,82.6,83.1,82.6
2020-10-09,82.9,82.85,82.9
2020-10-12,82.75,83.65,82.75
