,symbol,name
0,M_M.XNSE,MAHINDRA &MAHINDRA
1,SHREECEM.XNSE,SHREE CEMENT LTD
2,SIEMENS.XNSE,SIEMENS INDIA LTD
3,SRF.XNSE,SRF LIMITED
4,SRTRANSFIN.XNSE,SHRIRAM TRANSPORT
5,SUNPHARMA.XNSE,SUN PHARMACEUTICAL
6,TATAMOTORS.XNSE,TATA MOTORS LTD.
7,TATASTEEL.XNSE,TATA STEEL LTD
8,TCS.XNSE,TATA CONSULTANCY S
9,TECHM.XNSE,TECH MAHINDRA
10,TITAN.XNSE,TITAN COMPANY LTD
11,TORNTPHARM.XNSE,TORRENT PHARM
12,TRENT.XNSE,TRENT
13,ULTRACEMCO.XNSE,ULTRATECH CEMENT
14,UPL.XNSE,UPL LIMITED
15,VBL.XNSE,VARUN BEVERAGES
16,VEDL.XNSE,VEDANTA LIMITED
17,VOLTAS.XNSE,VOLTAS LTD
18,WHIRLPOOL.XNSE,WHIRLPOOL OF INDIA
19,WIPRO.XNSE,WIPRO
20,ZEEL.XNSE,ZEE ENTERTAIN ENT
