,symbol,name
0,3MINDIA.XNSE,3M INDIA LTD
1,ABB.XNSE,ABB INDIA LTD
2,ACC.XNSE,ACC LIMITED
3,ADANIENT.XNSE,ADANI ENTERPRISES
4,ADANIGREEN.XNSE,ADANI GREEN ENERGY
5,ADANIPORTS.XNSE,ADANI PORT SPECIAL
6,ADANITRANS.XNSE,ADANI TRANSMISS.IN
7,AMBUJACEM.XNSE,AMBUJA CEMENTS LTD
8,APOLLOHOSP.XNSE,APOLLO HOSPITALS.
9,ASIANPAINT.XNSE,ASIAN PAINTS LTD
10,AXISBANK.XNSE,AXIS BANK
11,BAJAJFINSV.XNSE,BAJAJ FINSERV LTD
12,BAJAJHLDNG.XNSE,BAJAJ HLDG & INVES
13,BAJAJ_AUTO.XNSE,BAJAJ AUTO LTD
14,BAJFINANCE.XNSE,BAJAJ FINANCE LTD
15,BANDHANBNK.XNSE,BANDHAN BANK LTD
16,BERGEPAINT.XNSE,BERGER PAINTS IND
17,BHARTIARTL.XNSE,BHARTI AIRTEL LTD
18,BOSCHLTD.XNSE,BOSCH LTD
19,BPCL.XNSE,BHARAT PETROL CORP
20,BRITANNIA.XNSE,BRITANNIA INDS
21,CADILAHC.XNSE,CADILA HEALTHCARE
22,CHOLAFIN.XNSE,CHOLAMANDALAM INV
23,COALINDIA.XNSE,COAL INDIA LTD
24,DABUR.XNSE,DABUR INDIA LTD
25,DIVISLAB.XNSE,DIVI'S LABORATORIE
26,DLF.XNSE,DLF LIMITED
27,DMART.XNSE,AVENUE SUPERMARTS
28,DRREDDY.XNSE,DR REDDYS LABS
29,EICHERMOT.XNSE,EICHER MOTORS
30,GAIL.XNSE,GAIL INDIA LTD
31,GODREJCP.XNSE,GODREJ CONSUMER PR
32,GODREJPROP.XNSE,GODREJ PROPERTIES
33,GRASIM.XNSE,GRASIM INDUSTRIES
34,GSKCONS.XNSE,GLAXOSMITHKLINE CO
35,HAL.XNSE,HINDUSTAN AERONAUT
36,HAVELLS.XNSE,HAVELLS INDIA
37,HCLTECH.XNSE,HCL TECHNOLOGIES
38,HDFC.XNSE,HOUSING DEVEL FIN
39,HDFCAMC.XNSE,HDFC ASSET MANAGEM
40,HDFCBANK.XNSE,HDFC BANK
41,HDFCLIFE.XNSE,HDFC LIFE INSURANC
42,HEROMOTOCO.XNSE,HERO MOTOCORP LTD
43,HINDUNILVR.XNSE,HINDUSTAN UNILEVER
44,HINDZINC.XNSE,HINDUSTAN ZINC
45,ICICIBANK.XNSE,ICICI BANK
46,ICICIGI.XNSE,ICICI LOMBARD GEN
47,ICICIPRULI.XNSE,ICICI PRUDENTIAL L
48,INDIGO.XNSE,INTERGLOBE AVIATIO
49,INDUSINDBK.XNSE,INDUSIND BANK LTD
50,INFRATEL.XNSE,BHARTI INFRATEL LT
51,INFY.XNSE,INFOSYS LTD
52,IOC.XNSE,INDIAN OIL CORP
53,IRCTC.XNSE,INDIAN RAILWAY CAT
54,ITC.XNSE,ITC
55,JSWSTEEL.XNSE,JSW STEEL LTD
56,KANSAINER.XNSE,KANSAI NEROLAC PAI
57,KOTAKBANK.XNSE,KOTAK MAHINDRA BAN
58,LT.XNSE,LARSEN & TOUBRO
59,MARICO.XNSE,MARICO LTD
60,MARUTI.XNSE,MARUTI SUZUKI IND
61,MCDOWELL_N.XNSE,UNITED SPIRITS
62,NAM_INDIA.XNSE,NIPPON LIFE INDIA
63,NESTLEIND.XNSE,NESTLE INDIA
64,NHPC.XNSE,NHPC LTD
65,NMDC.XNSE,NMDC LTD
66,NTPC.XNSE,NTPC LTD
67,OFSS.XNSE,ORACLE FIN SERVICE
68,ONGC.XNSE,OIL & NATURAL GAS
69,PAGEIND.XNSE,PAGE INDUSTRIES LT
70,PETRONET.XNSE,PETRONET LNG
71,PGHH.XNSE,PROCTER&GAMBLE IND
72,PIDILITIND.XNSE,PIDILITE INDUSTRIE
73,POWERGRID.XNSE,POWER GRID CORP
74,RECLTD.XNSE,REC LTD
75,RELIANCE.XNSE,RELIANCE INDS
76,SBILIFE.XNSE,SBI LIFE INSURANCE
77,SBIN.XNSE,STATE BK OF INDIA
78,SHREECEM.XNSE,SHREE CEMENT LTD
79,SIEMENS.XNSE,SIEMENS INDIA LTD
80,SRF.XNSE,SRF LIMITED
81,SRTRANSFIN.XNSE,SHRIRAM TRANSPORT
82,SUNPHARMA.XNSE,SUN PHARMACEUTICAL
83,TATAMOTORS.XNSE,TATA MOTORS LTD.
84,TATASTEEL.XNSE,TATA STEEL LTD
85,TCS.XNSE,TATA CONSULTANCY S
86,TECHM.XNSE,TECH MAHINDRA
87,TITAN.XNSE,TITAN COMPANY LTD
88,TORNTPHARM.XNSE,TORRENT PHARM
89,TRENT.XNSE,TRENT
90,ULTRACEMCO.XNSE,ULTRATECH CEMENT
91,UPL.XNSE,UPL LIMITED
92,VBL.XNSE,VARUN BEVERAGES
93,VEDL.XNSE,VEDANTA LIMITED
94,VOLTAS.XNSE,VOLTAS LTD
95,WHIRLPOOL.XNSE,WHIRLPOOL OF INDIA
96,WIPRO.XNSE,WIPRO
97,ZEEL.XNSE,ZEE ENTERTAIN ENT
