name,symbol
3M INDIA LTD,3MINDIA.XNSE
ABB INDIA LTD,ABB.XNSE
ACC LIMITED,ACC.XNSE
ADANI ENTERPRISES,ADANIENT.XNSE
ADANI GREEN ENERGY,ADANIGREEN.XNSE
ADANI PORT SPECIAL,ADANIPORTS.XNSE
ADANI TRANSMISS.IN,ADANITRANS.XNSE
AMBUJA CEMENTS LTD,AMBUJACEM.XNSE
APOLLO HOSPITALS.,APOLLOHOSP.XNSE
ASIAN PAINTS LTD,ASIANPAINT.XNSE
AVENUE SUPERMARTS,DMART.XNSE
AXIS BANK,AXISBANK.XNSE
BAJAJ AUTO LTD,BAJAJ_AUTO.XNSE
BAJAJ FINANCE LTD,BAJFINANCE.XNSE
BAJAJ FINSERV LTD,BAJAJFINSV.XNSE
BAJAJ HLDG & INVES,BAJAJHLDNG.XNSE
BANDHAN BANK LTD,BANDHANBNK.XNSE
BERGER PAINTS IND,BERGEPAINT.XNSE
BHARAT PETROL CORP,BPCL.XNSE
BHARTI AIRTEL LTD,BHARTIARTL.XNSE
BHARTI INFRATEL LT,INFRATEL.XNSE
BOSCH LTD,BOSCHLTD.XNSE
BRITANNIA INDS,BRITANNIA.XNSE
CADILA HEALTHCARE,CADILAHC.XNSE
CHOLAMANDALAM INV,CHOLAFIN.XNSE
COAL INDIA LTD,COALINDIA.XNSE
DABUR INDIA LTD,DABUR.XNSE
DIVI'S LABORATORIE,DIVISLAB.XNSE
DLF LIMITED,DLF.XNSE
DR REDDYS LABS,DRREDDY.XNSE
EICHER MOTORS,EICHERMOT.XNSE
EMBASSY OFFICE PAR,EMBASSY.RR.XNSE
GAIL INDIA LTD,GAIL.XNSE
GLAXOSMITHKLINE CO,GSKCONS.XNSE
GODREJ CONSUMER PR,GODREJCP.XNSE
GODREJ PROPERTIES,GODREJPROP.XNSE
GRASIM INDUSTRIES,GRASIM.XNSE
HAVELLS INDIA,HAVELLS.XNSE
HCL TECHNOLOGIES,HCLTECH.XNSE
HDFC ASSET MANAGEM,HDFCAMC.XNSE
HDFC BANK,HDFCBANK.XNSE
HDFC LIFE INSURANC,HDFCLIFE.XNSE
HERO MOTOCORP LTD,HEROMOTOCO.XNSE
HINDUSTAN AERONAUT,HAL.XNSE
HINDUSTAN UNILEVER,HINDUNILVR.XNSE
HINDUSTAN ZINC,HINDZINC.XNSE
HOUSING DEVEL FIN,HDFC.XNSE
ICICI BANK,ICICIBANK.XNSE
ICICI LOMBARD GEN,ICICIGI.XNSE
ICICI PRUDENTIAL L,ICICIPRULI.XNSE
INDIAN OIL CORP,IOC.XNSE
INDIAN RAILWAY CAT,IRCTC.XNSE
INDUSIND BANK LTD,INDUSINDBK.XNSE
INFOSYS LTD,INFY.XNSE
INTERGLOBE AVIATIO,INDIGO.XNSE
ITC,ITC.XNSE
JSW STEEL LTD,JSWSTEEL.XNSE
KANSAI NEROLAC PAI,KANSAINER.XNSE
KOTAK MAHINDRA BAN,KOTAKBANK.XNSE
LARSEN & TOUBRO,LT.XNSE
MAHINDRA &MAHINDRA,M_M.XNSE
MARICO LTD,MARICO.XNSE
MARUTI SUZUKI IND,MARUTI.XNSE
NESTLE INDIA,NESTLEIND.XNSE
NHPC LTD,NHPC.XNSE
NIPPON LIFE INDIA,NAM_INDIA.XNSE
NMDC LTD,NMDC.XNSE
NTPC LTD,NTPC.XNSE
OIL & NATURAL GAS,ONGC.XNSE
ORACLE FIN SERVICE,OFSS.XNSE
PAGE INDUSTRIES LT,PAGEIND.XNSE
PETRONET LNG,PETRONET.XNSE
PIDILITE INDUSTRIE,PIDILITIND.XNSE
POWER GRID CORP,POWERGRID.XNSE
PROCTER&GAMBLE IND,PGHH.XNSE
REC LTD,RECLTD.XNSE
RELIANCE INDS,RELIANCE.XNSE
SBI LIFE INSURANCE,SBILIFE.XNSE
SHREE CEMENT LTD,SHREECEM.XNSE
SHRIRAM TRANSPORT,SRTRANSFIN.XNSE
SIEMENS INDIA LTD,SIEMENS.XNSE
SRF LIMITED,SRF.XNSE
STATE BK OF INDIA,SBIN.XNSE
SUN PHARMACEUTICAL,SUNPHARMA.XNSE
TATA CONSULTANCY S,TCS.XNSE
TATA MOTORS LTD.,TATAMOTORS.XNSE
TATA STEEL LTD,TATASTEEL.XNSE
TECH MAHINDRA,TECHM.XNSE
TITAN COMPANY LTD,TITAN.XNSE
TORRENT PHARM,TORNTPHARM.XNSE
TRENT,TRENT.XNSE
ULTRATECH CEMENT,ULTRACEMCO.XNSE
UNITED SPIRITS,MCDOWELL_N.XNSE
UPL LIMITED,UPL.XNSE
VARUN BEVERAGES,VBL.XNSE
VEDANTA LIMITED,VEDL.XNSE
VOLTAS LTD,VOLTAS.XNSE
WHIRLPOOL OF INDIA,WHIRLPOOL.XNSE
WIPRO,WIPRO.XNSE
ZEE ENTERTAIN ENT,ZEEL.XNSE
